Month	KOSPI	Price_Seoul	Homeloan	Call_rate	M2	Export	Sentiment
18-Jul	2284.25 	94.54 	179277.60 	1.49 	2637.40 	21.60 	84.14 
18-Aug	2283.80 	95.29 	179981.40 	1.50 	2651.50 	21.30 	128.02 
18-Sep	2307.33 	98.01 	181251.50 	1.54 	2652.80 	26.00 	164.49 
18-Oct	2153.48 	99.41 	181938.70 	1.52 	2674.50 	23.90 	85.97 
18-Nov	2083.33 	99.81 	183394.70 	1.51 	2693.00 	21.50 	64.52 
18-Dec	2070.13 	99.96 	183858.00 	1.77 	2700.00 	21.50 	51.54 
19-Jan	2101.98 	100.00 	183577.90 	1.75 	2717.00 	19.20 	49.96 
19-Feb	2210.20 	99.95 	183974.30 	1.76 	2730.00 	20.80 	42.90 
19-Mar	2161.91 	99.87 	184496.70 	1.76 	2753.00 	20.90 	37.90 
19-Apr	2212.12 	99.87 	185582.20 	1.75 	2763.00 	20.30 	38.21 
19-May	2086.90 	99.92 	186359.30 	1.75 	2772.00 	19.90 	42.38 
19-Jun	2105.30 	100.04 	186961.80 	1.76 	2799.00 	20.50 	50.97 
19-Jul	2079.48 	100.30 	187995.30 	1.63 	2812.00 	18.40 	75.57 
19-Aug	1944.24 	100.68 	189603.00 	1.51 	2833.00 	18.80 	81.18 
19-Sep	2045.21 	101.06 	190097.90 	1.52 	2853.00 	21.80 	82.25 
19-Oct	2065.75 	101.43 	192231.80 	1.35 	2874.00 	20.20 	102.87 
19-Nov	2128.79 	101.85 	193327.00 	1.28 	2901.00 	18.70 	113.87 
19-Dec	2147.01 	102.56 	194201.60 	1.28 	2912.00 	19.90 	122.83 
20-Jan	2203.44 	103.06 	195176.20 	1.27 	2929.00 	20.10 	102.11 
20-Feb	2167.12 	103.42 	196654.80 	1.24 	2954.60 	18.20 	100.77 
20-Mar	1786.75 	103.91 	198287.60 	0.98 	2984.30 	19.30 	91.40 
20-Apr	1849.59 	104.07 	200025.00 	0.74 	3015.80 	16.50 	67.01 
20-May	1965.17 	104.09 	201328.20 	0.70 	3046.10 	16.20 	68.21 
20-Jun	2134.70 	104.64 	202582.30 	0.48 	3077.30 	16.70 	127.89 
